Icelandic,English
fimm,five
þangað,there
heyrðu,listen
líður,feeling
varst,were
elska,love
lengur,longer
góða,good
eigum,own
átti,had
virðist,seems
eiga,own
gerðist,happened
komast,penetrate
vilja,want
ná,gain
mann,man
þínum,your
kominn,arrived
gaman,fun
jack,Jack
illa,badly
þarft,need
inni,inside
fyrst,first
fyrsta,first
burt,away
betur,better
þykir,seems
sæll,joyful
lífi,live
handa,for
geta,ability
hafði,had
öllu,all
èg,I
ætlarðu,Do you think
vio,vio
fyrr,before
nótt,night
hægt,possible
frábært,great
leitt,sorry
þurfum,need
hitta,encounter
hjálpa,help
sinn,his
góð,good
gegn,versus
héðan,from
pér,pen
málið,the case
alvöru,real
nóg,enough
einhvern,someone
sjálfur,self
jú,Yes
mál,affair
ára,years
nema,except
hlýtur,must
ferð,journey
fengið,gotten
komum,come
víst,wish
ein,alone
annars,otherwise
daginn,day
áhyggjur,worry
tveir,two
orðið,the word
hve,how
leita,search
faðir,father
aò,aÒ
hafið,sea
búinn,exhausted
heiti,name
heima,home
gat,could
langt,far
minni,remembrance
deyja,expire
haldið,held
erfitt,difficult
mátt,must
enga,none
ættir,should
líf,life
hætta,stop
máli,meaning
engar,no
meðan,while
heyra,hear
skiptir,matters
gerum,bribes
spyrja,query
vorum,were
samt,however
mínu,my
tvö,two
kann,knows
maðurinn,the man
john,John
mínútur,minutes
gefa,donate
fæ,get
tekur,takes
ganga,course
gerast,happen
heitir,called
komst,come
sýna,demonstrate
fær,capable
hvern,whom
mínir,mine
fínt,fine
skilurðu,Do you understand
gerist,happens
klukkan,the clock
tíu,ten
ætlar,is going to
lítur,looks
sagðir,said
gangi,walk
heyrt,heard
tók,took
bless,goodbye
aõ,aõ
þinni,your
stundum,sometimes
allar,all
uppi,upstairs
líklega,probably
sért,been
líkar,similar
baka,bake
hjálp,aid
pig,pig
nokkuð,somewhat
þótt,although
látið,embedd
sex,six
stendur,stands
alls,all
fann,found
vantar,missing
allan,all
segirðu,do you say
skjóta,shoot
kona,character
skilið,understood
nota,use
fannst,thought
færð,get
fleiri,more
úti,outside
jafnvel,even
manni,man
góðan,good
hefðir,traditions
engan,no one
verði,price
sérðu,do you see
sjáumst,see you later
þessari,this one
afsakið,sorry
man,man
árum,years
þekki,know
afsakaðu,Sorry
mömmu,mom
konan,the woman
trúi,believe
ha,ha
manstu,remember
hlustaðu,listen
lokið,finished
hví,simplicity
fjandans,damn
nógu,enough
daga,dawn
tvo,two
yrði,should
værir,would
sonur,son
new,new
kemst,arrive
tvær,two
bílinn,river
tekið,taken
engu,no
milli,between
hugmynd,idea
þó,though
varstu,Were you
bíða,wait
undan,before
byrja,begin
betra,better
kalla,call
tími,time
sú,that
búið,done
miklu,much
ættum,should
besta,the best
leyfðu,let
næstum,almost
orð,word
eigin,own
beint,straight
vitum,knowledge
utan,outside
annan,another
hátt,loud
hverjum,who
dali,valley
peninga,money
dálítið,somewhat
smá,a little
konu,woman
sagðirðu,did you say
eg,I
strákar,boys
svolítið,slightly
hringja,ring
þínu,your
vinir,friends
dr,dr
nafn,name
hafðu,have
myndir,pictures
viku,week
settu,put
sjáið,see
litla,small
annar,second
komin,arrived
kyrr,still
þýðir,means
geti,may
fjárinn,money
sæl,Hello
hluti,portion
félagi,companion
lítið,little
átta,eight
miður,middle
pabba,dad
pví,with
seinna,afterwards
strákur,boy
barn,child
ætlaði,was going to
vid,we
borða,eat
lét,","
finn,feels
gegnum,through
gerðir,type
frekar,rather
borga,pay
helvítis,damn
skulum,shall
varlega,carefully
hversu,how
hlusta,listen
meiri,more
sína,show
öðrum,others
staðar,present
nýja,new
jesús,Jesus
gætir,could
hvao,what
vonandi,hopefully
þrír,three
tek,teak
nær,closer
hræddur,afraid
dó,died
þegiðu,shut up
fáum,get
bróðir,brother
skilja,understand
þessar,these
hinn,the other
horfa,watch
hug,mind
talað,spoken
reyndu,try
síðasta,last
aðra,other
york,york
bjarga,rescue
sínum,their
læt,let
þúsund,thousand
burtu,away
náði,caught
fáðu,Get
tony,tony
margir,many
ræða,address
betri,better
meo,meo
síðar,after
sagðist,said
mynd,print
frank,Frank
börn,children
gefðu,give
viljum,want
séu,be
ókei,okay
konur,women
kenna,teach
hafir,bibs
margt,many
ja,yes
sendi,send
næsta,next
mistök,mistake
reyndi,tried
næst,next
tilbúinn,synthetic
meina,mean
best,best
von,hope
slepptu,drop
rólegur,comfortable
bílnum,the car
stór,big
vona,hope
heyrði,heard
færðu,move
skipti,exchange
dauður,dead
lifa,live
slæmt,bad
hamingju,happiness
gaf,gave
flott,cool
peningana,money
líta,look
fallegt,beautiful
tókst,successfully
lífið,life
viljið,will
paò,pa
gekk,walked
sestu,sit
pá,town
takið,take
vinstri,left
oft,frequently
talar,speaks
reyndar,actually
gamla,old
nálægt,near
getað,could
þekkir,knows
lætur,lets
farinn,gone
borð,table
niðri,down
fundið,found
setja,set
minna,less
skilur,understands
eiginlega,actually
leika,perform
bjóða,offer
samband,liaison
standa,stand
þessir,these
virkilega,really
móti,against
búin,done
bað,bath
föður,father
pad,pad
líttu,color
nokkur,some
tækifæri,chance
hey,hay
fleira,more
drap,killed
þann,that
búa,reside
vini,friends
látum,reception
hjálpað,help
vi,we
frændi,cousin
húsið,the House
getið,can
senda,send
færi,fishing line
tökum,keyline
haft,have
sofa,sleep
bið,wait
barnið,the baby
sækja,get
skrifa,write
móðir,mother
leiðinni,the way
áhuga,interest
stjórn,administration
vinnu,work
ætli,suppp
fréttir,news
mat,assessment
lesa,read
læknir,doctor
fljótt,quickly
beðið,waited
fröken,miss
hringdi,called
nokkra,a few
gætum,guard
sjö,seven
grínast,joking
mínar,mine
hægri,right
herrar,gentlemen
vinnur,works
unnið,won
rangt,wrong
frábær,great
þrjú,three
drepið,kill
náðu,accomplish
fólki,people
önnur,another
virði,worth
kaupa,purchase
snýst,spin
viõ,We
george,George
einhvers,something
fari,travel
innan,inside
falleg,beautiful
réttu,stretch
komist,being
hitt,the other
konar,kind
framan,in front of
reyni,try
síðustu,last
ungfrú,miss
paul,paul
örugglega,indeed
bænum,town
þurfa,require
byssu,gun
datt,fell
ben,ben
vandamál,puzzle
varla,hardly
dáinn,deceased
lögreglan,the police
fangelsi,prison
lofa,promise
tveimur,two
gamli,old
litli,small
sitt,long
höldum,hold
michael,Michael
ætlum,plan
spila,play
hringi,call
gær,yesterday
næstu,next
bíl,car
góðu,good
ber,berry
hætti,quit
andskotinn,damn it
mörg,many
hvad,what
mánuði,months
leggja,lay
mike,mike
sjáum,take care
staðinn,site
manns,man
mark,point
fjölskyldu,family
einhverju,something
augnablik,moment
númer,number
tilbúin,ready
sam,sam
gamall,old
hjarta,heart
hljómar,sounds
tímann,time
hinum,the other
öðru,other
stund,while
vann,won
ný,new
vatn,water
berjast,fight
bíðið,wait
greiða,comb
dyrnar,door
gleymdu,forget
charlie,charlie
vildir,wild
missa,loose
kki,check
tom,tom
biðja,pray
heyrirðu,You hear
manninn,man
þurfti,needed
hringdu,call
hendur,hands
bæði,both
ofan,above
sýndu,show
tta,take
ennþá,yet
vitið,know
komu,came
trúa,believe
hús,house
peir,peers
móður,breathless
drottinn,Lord
þarftu,need
verk,business
bob,BB
börnin,the children
david,David
hitti,met
hrifinn,fond
gerið,yeast
sástu,did you see
svara,reply
dave,dave
heyri,hear
ótrúlegt,unbelievable
né,nor
opnaðu,Open
mikil,great
skipta,part
almáttugur,almighty
nýtt,new
talaðu,talk
rétta,straighten
húsinu,the house
bera,bear
fólkið,the people
sæti,seat
bad,bath
dala,valley
kaffi,coffee
herbergi,room
enda,terminate
sleppa,drop
joe,joe
hrædd,scared
friði,peace
starf,business
dagur,day
býr,lives
hata,hate
þarfnast,require
opna,open
tilbúnir,ready
hjálpaðu,Help
augun,the eyes
drengur,boy
sérð,see
gefið,administer
fyrstu,first
viò,We
bestu,the best
hugsaðu,think
seint,late
dóttur,daughter
nokkrum,a few
harry,harry
munu,will
mundu,remember
besti,best
fjandanum,foul
líst,probably
heiminum,world
fékkstu,did you get
fyndið,funny
eini,only
þínar,your
talaði,spoke
verðið,price
leik,game
allra,everyones
lifandi,alive
yðar,your
missti,dropped
náð,Grace
þínir,your
þrjár,three
gefur,gives
skaltu,please
margar,many
johnny,Johnny
sinnum,times
komstu,did you come
níu,nine
kjaftæði,bullshit
leit,pursuit
finnur,finds
skyldi,should
slíkt,such
nafni,name
reynir,tries
komi,visiting
einum,single
leikur,performance
aftan,rear
nokkrar,a few
marga,many
gengið,Walked
byssuna,gun
sambandi,relationship
med,with
næ,get
systir,sister
liðið,past
skaut,lap
litlu,little
sumir,some
stattu,stand
mönnum,men
ur,wood
drekka,drink
hverjir,who
alvara,serious
mikill,much
mikla,much
sömu,other
bak,back
hættið,stop
aðrir,others
væru,would be
Eddie,Eddie
leyfi,permission
þremur,three
stóra,large
hönd,hand
óttast,apprehend
land,land
staður,location
kvöldið,evening
elskar,loves
bróður,brother
sitja,sit
þátt,episode
ofursti,colonel
læra,study
megin,cross
gerðirðu,did you make
komumst,people
ágætt,okay
ást,love
konuna,wife
reynt,tried
sekúndur,seconds
vitni,witness
einhverjum,somebody
snúa,twist
komnir,come
selja,sell
hvaðan,where
vin,friend
finnum,find
fylgja,escort
míns,mine
meinarðu,Do you mean
stelpa,girl
neinn,any
manna,man
Kate,Kate
þrjá,three
kynnast,become familiar
sannarlega,truly
óvart,inadvertently
tölum,figure
finndu,find
gef,donate
eigið,own
nákvæmlega,exactly
sakna,miss
breyta,switch
sín,inherit
jimmy,jimmy
hjálpar,helps
hratt,raw
lögga,cop
orðinn,has become
velkominn,welcome
bíður,awaits
vissulega,certainly
býst,expect
spurði,asked
ári,demon
upplýsingar,intelligence
sannleikann,the truth
spurningar,questions
drepur,kill
dóttir,daughter
efni,stuff
afar,extremely
auðvelt,easy
öðruvísi,different
þaõ,I
augu,eyes
færa,bring
afsökunar,apology
ljós,light
